id,name,category,address,district,hours,rating,chain,seats
aaa5fbd363974fae8cf2740d05891c6e,Самса Халяль,кафе,"Москва, Гагаринский тоннель",Юго-Западный административный округ,"ежедневно, круглосуточно",4.3,0,
003cf482d6544a26bcff889692bead6a,Cafe Aprile,кафе,"Москва, площадь Джавахарлала Неру, 1",Западный административный округ,"ежедневно, 09:00–23:00",3.9,0,82.0
372ea3233cd54ca490d7c9c4c903c995,Акваименс,кафе,"Москва, Нахимовский проспект, 75А",Юго-Западный административный округ,"ежедневно, круглосуточно",3.6,0,7.0
85d06285e7a64bc28f88e197da0b6d7d,Люстра,кафе,"Москва, Комсомольский проспект, 28",Центральный административный округ,"пн-пт 09:00–22:00; сб,вс 10:00–22:00",4.3,0,400.0
bc9b1adea18d46bf95ff5937bf7c7669,Гёдза Мазая,ресторан,"Москва, Усачёва улица, 26",Центральный административный округ,"ежедневно, 11:00–23:00",4.0,0,100.0
afde8aae46a14f62a9fd7f02b387e955,Thali & Dosa,быстрое питание,"Москва, Усачёва улица, 26",Центральный административный округ,"пн-чт 10:00–22:00; пт,сб 10:00–23:00; вс 10:00–22:00",3.7,0,100.0
a796fe103c0d4f77a6905d0e39a2dcbe,Яндекс Лавка,ресторан,"Москва, улица Шаболовка, 23, корп. 3",Центральный административный округ,"ежедневно, 07:00–02:00",4.1,1,100.0
533224d862d14e0da3ca1cb0663fe585,Лакса,кафе,"Москва, Усачёва улица, 26",Центральный административный округ,"пн-чт 10:00–21:00; пт,сб 10:00–22:00; вс 10:00–21:00",3.3,0,100.0
de711b34cf02415d9348180197cd160a,Pho Viet,ресторан,"Москва, Усачёва улица, 26",Центральный административный округ,"пн-чт 10:00–22:00; пт,сб 10:00–23:00; вс 10:00–22:00",4.0,1,100.0
6d49f12868e944d88aa4eb45b0680aaf,Бургеры и пиво Parka bar,"бар,паб","Москва, улица Вавилова, 64/1с1",Юго-Западный административный округ,"ежедневно, 10:00–21:30",4.1,0,
800007f29f87481aa36ad6a6766641ca,Городское,кафе,"Москва, улица Вавилова, 66",Юго-Западный административный округ,пн-пт 10:00–21:00,4.3,1,80.0
0bef0d6acbaa4090b24d0c5ef01f6b0c,Хачапури,кафе,"Москва, Ломоносовский проспект, 23А",Юго-Западный административный округ,"ежедневно, круглосуточно",3.6,1,3.0
c50703fcaac84ba9821962f591d2beb7,Я кофе,кофейня,"Москва, Комсомольский проспект, 23/7",Центральный административный округ,"ежедневно, 07:00–23:00",3.8,0,
46e76c48696c43b09e45ef3936a81de1,Coffee Place,кафе,"Москва, улица Шаболовка, 10",Центральный административный округ,пн-пт 09:00–20:00,4.4,0,
fe326d249bfa46759f54d253216aeb45,Veranda,кафе,"Москва, улица Вавилова, 69/75",Юго-Западный административный округ,,2.9,0,99.0
f7908be132b04cbba3e5794450b29058,Doner 24,быстрое питание,"Москва, Нахимовский проспект, 59А",Юго-Западный административный округ,"ежедневно, круглосуточно",3.4,0,
2d0f55a64ded428787a07c50ae2526f5,Fresh-doner,кафе,"Москва, проспект 60-летия Октября, 20",Юго-Западный административный округ,"ежедневно, 07:00–00:00",3.6,0,68.0
79c17444687246d68046c09ba352d48c,Кафе,кофейня,"Москва, Большая Черёмушкинская улица, 34",Юго-Западный административный округ,пн-пт 09:00–18:00,3.6,0,
a05eaedf7ec7442ca7fd5d1c8960f50b,Курьер,кафе,"Москва, Калужско-Рижская линия, метро Шаболовская",Южный административный округ,,4.2,0,
86c60f1198e04cecb03bffbddd379ad4,Соломинка,кафе,"Москва, Воробьёвское шоссе, 8",Западный административный округ,,3.8,0,80.0
29b5357b4242492bbf3ad5e3ea4db17c,Енот,кафе,"Москва, № 7",Южный административный округ,,4.8,0,
62305f610663440881f9e1101f1c6692,Суши Маки,кафе,"Москва, улица Дмитрия Ульянова, 30",Юго-Западный административный округ,"ежедневно, 11:00–23:00",3.7,0,
26479641b1dd4acf9b3b61eeea1b0eb2,French Bakery,булочная,"Москва, Профсоюзная улица, 19",Юго-Западный административный округ,пн-пт 07:30–23:00; сб 08:00–22:00; вс 09:00–21:00,3.8,1,48.0
eb47e6994d2e4003bede0e4b8b1b5227,Пресс Бургер,кафе,"Москва, улица Вавилова, 81, корп. 1",Юго-Западный административный округ,"ежедневно, 12:00–22:00",3.9,0,45.0
3aeacd6bac6b40c29c0a3b72bd576e0b,Kojiro,быстрое питание,"Москва, Усачёва улица, 26",Центральный административный округ,"пн-пт 10:00–22:00; сб,вс 10:00–23:00",3.6,0,100.0
32b647f1ee9b419fb384e13858b46a06,Кофе-выпечка,кофейня,"Москва, Профсоюзная улица, 15",Юго-Западный административный округ,"пн-пт 07:00–20:00; сб,вс 08:00–21:00",3.3,0,45.0
